,employee_id,name,email,designation,age,length_of_service,is_promoted
0,65438,Alice Wilson,alice.wilson@gmail.com,Sales & Marketing,35,8,0
1,65141,Liam Lee,liam.lee@gmail.com,Operations,30,4,0
2,7513,Liam Johnson,liam.johnson@gmail.com,Sales & Marketing,34,7,0
3,2542,Victor Davis,victor.davis@gmail.com,Sales & Marketing,39,10,0
4,48945,David Brooks,david.brooks@gmail.com,Technology,45,2,0
5,58896,Bob Moore,bob.moore@gmail.com,Analytics,31,7,0
6,20379,Isabella Brooks,isabella.brooks@gmail.com,Operations,31,5,0
7,16290,Olivia Walker,olivia.walker@gmail.com,Operations,33,6,0
8,73202,David Wilson,david.wilson@gmail.com,Analytics,28,5,0
9,28911,Harry Brooks,harry.brooks@gmail.com,Sales & Marketing,32,5,0
10,29934,Tina Brown,tina.brown@gmail.com,Technology,30,1,0
11,49017,Alice Wood,alice.wood@gmail.com,Sales & Marketing,35,3,1
12,60051,Paul Harris,paul.harris@gmail.com,Sales & Marketing,49,5,0
13,38401,Tina Cooper,tina.cooper@gmail.com,Technology,39,16,0
14,77040,Harry White,harry.white@gmail.com,R&D,37,7,0
15,43931,Uma Edwards,uma.edwards@gmail.com,Operations,37,10,0
16,7152,Yvonne Martinez,yvonne.martinez@gmail.com,Technology,38,5,0
17,9403,Wendy Harris,wendy.harris@gmail.com,Sales & Marketing,34,4,0
18,17436,Victor Carter,victor.carter@gmail.com,Sales & Marketing,34,8,0
19,54461,Rachel Wood,rachel.wood@gmail.com,Operations,37,9,0
20,12067,Olivia Moore,olivia.moore@gmail.com,Procurement,35,7,0
21,33332,Catherine Lee,catherine.lee@gmail.com,Operations,41,11,0
22,58789,Paul Thompson,paul.thompson@gmail.com,Finance,28,4,0
23,71177,Sam Lee,sam.lee@gmail.com,Procurement,27,1,0
24,52057,Karen Lee,karen.lee@gmail.com,Finance,39,7,0
25,26585,Sam Walker,sam.walker@gmail.com,Technology,27,3,0
26,37749,Alice Edwards,alice.edwards@gmail.com,Procurement,31,4,0
27,2370,Grace Moore,grace.moore@gmail.com,Technology,33,4,0
28,8219,Quincy Green,quincy.green@gmail.com,Analytics,29,3,0
29,74759,Bob Carter,bob.carter@gmail.com,Sales & Marketing,26,1,0
30,27395,Sam Walker,sam_walker486@gmail.com,Procurement,37,10,0
31,58536,Olivia Green,olivia.green@gmail.com,Finance,26,2,0
32,35465,Liam Evans,liam.evans@gmail.com,Sales & Marketing,24,2,0
33,51756,Liam Harris,liam.harris@gmail.com,Operations,57,6,0
34,57011,David Cooper,david.cooper@gmail.com,Analytics,27,3,0
35,77064,Wendy Smith,wendy.smith@gmail.com,Sales & Marketing,40,4,0
36,64062,Xander Walker,xander.walker@gmail.com,Technology,33,4,0
37,47123,Sam Evans,sam.evans@gmail.com,Sales & Marketing,40,3,0
38,56275,Quincy Hill,quincy.hill@gmail.com,Sales & Marketing,42,5,0
39,58304,Zach Wilson,zach.wilson@gmail.com,Sales & Marketing,33,6,1
40,25014,Olivia Green,olivia_green621@gmail.com,Technology,34,10,0
41,40097,Uma Perez,uma.perez@gmail.com,Operations,23,2,0
42,23560,Paul Taylor,paul.taylor@gmail.com,HR,59,26,0
43,17423,Quincy Kelly,quincy.kelly@gmail.com,Sales & Marketing,24,2,0
44,61758,Catherine Davis,catherine.davis@gmail.com,Analytics,44,12,0
45,75009,Uma Green,uma.green@gmail.com,Procurement,50,11,0
46,17876,Liam Brown,liam.brown@gmail.com,Procurement,37,4,0
47,36924,Catherine Carter,catherine.carter@gmail.com,Technology,40,11,0
48,50408,Jack Perez,jack.perez@gmail.com,Sales & Marketing,30,3,0
49,18013,Uma Perez,uma_perez978@gmail.com,Procurement,56,12,0
50,24104,Yvonne Morgan,yvonne.morgan@gmail.com,Finance,20,2,0
51,32083,Catherine Morgan,catherine.morgan@gmail.com,Sales & Marketing,31,8,0
52,38330,Rachel Evans,rachel.evans@gmail.com,Procurement,40,12,0
53,33690,Xander Martinez,xander.martinez@gmail.com,HR,30,6,0
54,73161,Uma Morgan,uma.morgan@gmail.com,Operations,39,5,0
55,13596,Liam Martinez,liam.martinez@gmail.com,Analytics,26,2,0
56,45709,Mia Brooks,mia.brooks@gmail.com,Sales & Marketing,29,1,0
57,32709,Tina Phillips,tina.phillips@gmail.com,R&D,40,5,0
58,26599,Tina Walker,tina.walker@gmail.com,Sales & Marketing,27,1,0
59,32656,Grace Taylor,grace.taylor@gmail.com,Sales & Marketing,40,7,0
60,17673,Victor Baker,victor.baker@gmail.com,Sales & Marketing,50,17,1
61,3113,Quincy Brooks,quincy.brooks@gmail.com,Sales & Marketing,25,3,0
62,9150,Paul Carter,paul.carter@gmail.com,Analytics,28,1,0
63,14107,Frank Phillips,frank.phillips@gmail.com,Sales & Marketing,35,2,0
64,58747,Grace Wilson,grace.wilson@gmail.com,R&D,34,5,0
65,3342,Zach Wood,zach.wood@gmail.com,Operations,31,3,0
66,77981,Alice Harris,alice.harris@gmail.com,Finance,27,1,1
67,16502,Frank Smith,frank.smith@gmail.com,Sales & Marketing,27,1,1
68,73729,Zach Lee,zach.lee@gmail.com,Procurement,30,6,0
69,45624,Rachel Thompson,rachel.thompson@gmail.com,Analytics,30,7,1
70,75677,Isabella Brown,isabella.brown@gmail.com,Operations,50,5,0
71,24040,Tina Johnson,tina.johnson@gmail.com,Technology,34,7,1
